Month,Reserve
2025-04-30,0
2025-05-31,1307.6499999999999
2025-06-30,2232.04
2025-07-31,2916.4300000000003
2025-08-31,3815.180000000001
2025-09-30,4499.5700000000015
2025-10-31,5183.96
2025-11-30,6108.349999999999
2025-12-31,6792.739999999998
2026-01-31,7451.489999999996
2026-02-28,8375.879999999997
2026-03-31,9060.269999999997
2026-04-30,9744.66
2026-05-31,10669.050000000003
2026-06-30,11353.440000000006
2026-07-31,12037.830000000009
2026-08-31,12936.580000000013
2026-09-30,13620.970000000016
2026-10-31,14305.360000000019
2026-11-30,15229.750000000022
2026-12-31,15914.140000000025
2027-01-31,16812.89000000003
2027-02-28,17497.280000000028
2027-03-31,18181.670000000027
2027-04-30,18866.060000000023